target;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado
;2;44846;0;36;1;2;0;1;;6;1;1;36;1;1
;2;44887;0;14;1;1;0;1;85001;1;3;4;1;0;
;2;44942;0;36;1;1;0;1;;11;1;1;36;1;1
;2;44937;0;15;2;1;1;1;;5;1;1;37;1;1
;2;44813;0;15;1;1;1;1;;5;1;1;12;1;1
;2;44889;0;15;1;1;1;1;;5;1;1;21;1;1
;2;44937;0;10;1;1;0;1;;9;1;1;6;1;1
;2;44937;0;21;1;2;0;1;;11;1;1;6;1;1
;2;44937;0;15;1;1;0;1;11001;5;1;2;83;0;1
;2;44894;0;21;1;2;0;1;;11;1;1;19;1;1
;2;44894;0;25;1;1;0;1;;18;1;1;43;1;1
;2;44894;0;25;1;1;0;1;;17;1;1;43;1;1
;2;44901;0;10;1;1;0;1;;19;1;1;12;1;1
;2;44991;0;14;1;1;0;1;5147;1;3;4;1;0;
;2;45014;0;38;1;2;0;1;11001;12;3;4;1;0;
;2;45014;0;14;1;1;0;1;76248;6;3;4;1;0;
;2;44908;0;38;1;1;0;1;;12;1;1;15;1;1
;2;44908;0;10;1;1;0;1;;12;1;1;45;1;1
;2;44908;0;38;1;1;0;1;;12;1;1;64;1;1
;2;44854;0;15;1;1;1;1;;5;1;1;12;1;1
;2;44860;0;8;1;1;0;1;;7;1;1;42;1;1
;2;44860;0;25;2;1;0;1;;1;1;1;39;1;1
;2;44810;0;14;2;1;0;1;;1;1;1;77;1;1
;2;44939;0;38;1;1;0;1;;12;1;1;56;1;1
;2;44980;0;14;1;1;0;1;19548;1;3;4;1;0;
;2;44928;0;18;1;1;0;1;66001;3;1;2;23;0;1
;2;44858;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44960;0;15;1;1;0;1;13001;5;1;2;17;0;1
;2;44974;0;1;1;1;0;1;5001;11;3;4;1;0;
;2;44930;0;38;1;1;0;1;;12;1;1;12;1;1
;2;44931;0;15;1;1;1;1;;32;1;1;14;1;1
;2;44846;0;8;2;1;0;1;;27;1;1;11;1;1
;2;45001;0;10;1;1;0;1;19001;12;3;4;1;0;
;2;44858;0;8;2;1;0;1;;27;1;1;11;1;1
;2;44845;0;14;2;1;0;1;;1;1;1;47;1;1
;2;44855;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44965;0;15;1;1;1;1;;5;1;1;70;1;1
;2;44901;0;25;2;3;0;1;;6;1;1;15;1;1
;2;44901;0;10;1;1;0;1;;9;1;1;12;1;1
;2;44956;0;18;1;1;0;1;50150;5;1;2;28;0;1
;2;44910;0;10;1;1;0;1;;12;1;1;28;1;1
;2;44910;0;23;1;3;0;1;;1;1;1;28;1;1
;2;44887;0;32;2;7;0;1;;11;1;1;33;1;1
;2;44944;0;38;1;1;0;1;;19;1;1;9;1;1
;2;44888;0;23;2;2;0;1;;1;1;1;24;1;1
;2;44929;0;15;1;1;1;1;;31;1;1;42;1;1
