No_Radicacion;Proceso;FechaCreacion;EsRepresa;Tramite;TipoLiquidacion;Instancia;TiemposPublicos;TipoDoc;CodigoDane;TipoDeSolicitante;Origen;Proceso_Entrada;Oficina;EsFortalecimiento;TipoRadicado;Grupotrabajo;Salarioprom;Target;salariosMin
2022_16106343;2;44867;0;25;1;2;0;1;;1;1;1;49;1;1;2;;MANUAL;9
2022_15042339_2;2;44992;0;25;2;5;0;1;5266;1;4;5;;0;1;1;;MANUAL;9
2023_1008269_2;2;45000;0;25;1;5;0;1;76001;1;4;5;;0;1;1;;MANUAL;10
2023_927709;2;44945;0;15;1;1;1;1;;5;1;1;70;1;1;2;;MANUAL;10
2022_14441885_2;2;44995;0;25;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;10
2022_14878446;2;44846;0;15;1;1;1;1;;5;1;1;35;1;1;2;;MANUAL;10
2023_331892;2;44932;0;15;1;1;1;1;;5;1;1;49;1;1;2;;MANUAL;10
2023_4675787;2;45013;0;7;2;1;0;1;;18;1;1;37;1;1;2;;MANUAL;11
2023_2807380;2;44978;0;38;1;1;0;1;;12;1;1;40;1;2;2;;MANUAL;11
2023_4830648_9_2;2;45016;0;38;1;5;0;1;5001;12;4;5;1;0;1;1;;MANUAL;11
2022_18270408_2;2;45007;0;25;2;5;0;1;76001;6;4;5;;0;1;1;;MANUAL;11
2022_16874715_2;2;45016;0;25;1;5;0;1;8758;1;4;5;;0;1;1;;MANUAL;11
2023_1117170_2;2;45009;0;24;2;5;0;1;5001;11;4;5;;0;1;1;;MANUAL;11
2023_1975755_2;2;45006;0;25;1;5;0;1;11001;6;4;5;;0;1;1;;MANUAL;12
2022_13987818_2;2;45015;0;25;2;5;0;1;19001;6;4;5;;0;1;1;;MANUAL;12
2023_759131_2;2;45008;0;36;1;5;0;1;5266;11;4;5;;0;1;1;;MANUAL;12
2023_1472265_2;2;45008;0;25;1;5;0;1;15759;1;4;5;;0;1;1;;MANUAL;12
2023_930357_2;2;45006;0;30;1;5;0;1;76563;18;4;5;;0;1;1;;MANUAL;12
2023_1299633_2;2;45001;0;25;1;5;0;1;17001;6;4;5;;0;1;1;;MANUAL;13
2023_132913_2;2;44995;0;23;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;13
2023_881612_2;2;45013;0;36;1;5;0;1;13001;11;4;5;;0;1;1;;MANUAL;13
2022_18783192_2;2;44988;0;25;1;5;0;1;11001;6;4;5;;0;1;1;;MANUAL;13
2023_1447691_2;2;44987;0;23;1;5;0;1;5001;6;4;5;;0;1;1;;MANUAL;13
2023_538350_2;2;45013;0;30;1;5;0;1;25175;1;4;5;;0;1;1;;MANUAL;13
2023_658373_2;2;45015;0;25;2;5;0;1;76001;17;4;5;;0;1;1;;MANUAL;14
2023_823436_2;2;44994;0;25;2;5;0;1;5001;6;4;5;;0;1;1;;MANUAL;14
2023_89377_2;2;44999;0;25;2;5;0;1;17380;17;4;5;;0;1;1;;MANUAL;14
2022_16282971_2;2;45001;0;21;1;5;0;1;5001;6;4;5;;0;1;1;;MANUAL;14
2022_18300548_2;2;45006;0;25;1;5;0;1;47001;1;4;5;;0;1;1;;MANUAL;14
2023_566904_2;2;45014;0;25;1;5;0;1;41001;17;4;5;;0;1;1;;MANUAL;14
2022_18864598_2;2;45009;0;25;2;5;0;1;44001;1;4;5;;0;1;1;;MANUAL;15
2022_15596070_2;2;44998;0;25;1;5;0;1;11001;1;4;5;;0;1;1;;MANUAL;15
2022_17145240_2;2;44999;0;25;2;5;0;1;8001;6;4;5;;0;1;1;;MANUAL;15
2022_18326412_2;2;44987;0;23;1;5;0;1;11001;6;4;5;;0;1;1;;MANUAL;15
